id,key,value,type
26633976,created_by,JOSM,regular
26633979,created_by,JOSM,regular
26633986,created_by,JOSM,regular
27438813,created_by,JOSM,regular
27438816,created_by,JOSM,regular
27438818,created_by,JOSM,regular
27438819,created_by,JOSM,regular
27438821,created_by,JOSM,regular
27438833,created_by,JOSM,regular
27438836,created_by,JOSM,regular
27438837,created_by,JOSM,regular
27438841,created_by,JOSM,regular
27438857,barrier,Toll_Booth,regular
27607276,source,PGS,regular
27607276,created_by,Shp2Osm,regular
27607285,source,PGS,regular
27607285,created_by,Shp2Osm,regular
27607330,source,PGS,regular
27607330,created_by,Shp2Osm,regular
27607349,source,PGS,regular
27607371,source,PGS,regular
27607377,source,PGS,regular
27607377,created_by,Shp2Osm,regular
27607386,source,PGS,regular
27607386,created_by,Shp2Osm,regular
27607394,source,PGS,regular
27607394,created_by,Shp2Osm,regular
27607408,source,PGS,regular
27607408,created_by,Shp2Osm,regular
27607436,source,PGS,regular
27607448,source,PGS,regular
27607448,created_by,Shp2Osm,regular
27607451,source,PGS,regular
27607451,created_by,Shp2Osm,regular
27607457,source,PGS,regular
27607467,source,PGS,regular
27607471,source,PGS,regular
27607471,created_by,Shp2Osm,regular
27607473,source,PGS,regular
27607529,source,PGS,regular
27607529,created_by,Shp2Osm,regular
27607537,source,PGS,regular
27607561,source,PGS,regular
27607580,source,PGS,regular
27607580,created_by,Shp2Osm,regular
27607582,source,PGS,regular
27607588,source,PGS,regular
27607588,created_by,Shp2Osm,regular
27607597,source,PGS,regular
27607597,created_by,Shp2Osm,regular
27607598,source,PGS,regular
27607598,created_by,Shp2Osm,regular
27607599,source,PGS,regular
27607609,source,PGS,regular
27607609,created_by,Shp2Osm,regular
27607623,source,PGS,regular
27607623,created_by,Shp2Osm,regular
27607635,source,PGS,regular
27607635,created_by,Shp2Osm,regular
27607647,source,PGS,regular
27607676,source,PGS,regular
27607678,source,PGS,regular
27607678,created_by,Shp2Osm,regular
27607706,source,PGS,regular
27607729,source,PGS,regular
27607729,created_by,Shp2Osm,regular
27607746,source,PGS,regular
27607746,created_by,Shp2Osm,regular
27607778,source,PGS,regular
27607827,source,PGS,regular
27607827,created_by,Shp2Osm,regular
27607854,source,PGS,regular
27607905,source,PGS,regular
27607905,created_by,Shp2Osm,regular
27607909,source,PGS,regular
27607909,created_by,Shp2Osm,regular
27607919,source,PGS,regular
27607919,created_by,Shp2Osm,regular
27607941,source,PGS,regular
27607941,created_by,Shp2Osm,regular
27607954,source,PGS,regular
27607954,created_by,Shp2Osm,regular
27607956,source,PGS,regular
27607958,source,PGS,regular
27607985,source,PGS,regular
27607985,created_by,Shp2Osm,regular
27607988,source,PGS,regular
27607988,created_by,Shp2Osm,regular
27608025,source,PGS,regular
27608037,source,PGS,regular
27608037,created_by,Shp2Osm,regular
27608038,source,PGS,regular
27608038,created_by,Shp2Osm,regular
27608042,source,PGS,regular
27608047,source,PGS,regular
27608051,source,PGS,regular
27608087,source,PGS,regular
27608087,created_by,Shp2Osm,regular
27608104,source,PGS,regular
27608104,created_by,Shp2Osm,regular
27608122,source,PGS,regular
27608148,source,PGS,regular
27608151,source,PGS,regular
27608151,created_by,Shp2Osm,regular
27608169,source,PGS,regular
27608183,source,PGS,regular
27608189,source,PGS,regular
27608242,source,PGS,regular
27608242,created_by,Shp2Osm,regular
27608249,source,PGS,regular
27608249,created_by,Shp2Osm,regular
27608263,source,PGS,regular
27608288,source,PGS,regular
27608312,source,PGS,regular
27608312,created_by,Shp2Osm,regular
27608336,source,PGS,regular
27608336,created_by,Shp2Osm,regular
27608373,source,PGS,regular
27608373,created_by,Shp2Osm,regular
27608385,source,PGS,regular
27608385,created_by,Shp2Osm,regular
27608394,source,PGS,regular
27608394,created_by,Shp2Osm,regular
27608401,source,PGS,regular
27608401,created_by,Shp2Osm,regular
27608402,source,PGS,regular
27608409,source,PGS,regular
27608426,source,PGS,regular
27608426,created_by,Shp2Osm,regular
27608432,source,PGS,regular
27608432,created_by,Shp2Osm,regular
27608433,source,PGS,regular
27608448,source,PGS,regular
27608448,created_by,Shp2Osm,regular
27608452,source,PGS,regular
27608463,source,PGS,regular
27608479,source,PGS,regular
27608479,created_by,Shp2Osm,regular
27608480,source,PGS,regular
27608485,source,PGS,regular
27608489,source,PGS,regular
27608489,created_by,Shp2Osm,regular
27608493,source,PGS,regular
27608496,source,PGS,regular
27608527,source,PGS,regular
27608527,created_by,Shp2Osm,regular
27608538,source,PGS,regular
27608540,source,PGS,regular
27608540,created_by,Shp2Osm,regular
27608551,source,PGS,regular
27608551,created_by,Shp2Osm,regular
27608558,source,PGS,regular
27608559,source,PGS,regular
27608559,created_by,Shp2Osm,regular
27608581,source,PGS,regular
27608581,created_by,Shp2Osm,regular
27608584,source,PGS,regular
27608585,source,PGS,regular
27608598,source,PGS,regular
27608607,source,PGS,regular
27608612,source,PGS,regular
27608612,created_by,Shp2Osm,regular
27608635,source,PGS,regular
27608635,created_by,Shp2Osm,regular
27608652,source,PGS,regular
27608659,source,PGS,regular
27608666,source,PGS,regular
27608677,source,PGS,regular
27608684,source,PGS,regular
27608718,source,PGS,regular
27608718,created_by,Shp2Osm,regular
27608726,source,PGS,regular
27608726,created_by,Shp2Osm,regular
27608768,source,PGS,regular
27608778,source,PGS,regular
27608779,source,PGS,regular
27608779,created_by,Shp2Osm,regular
27608819,source,PGS,regular
27608819,created_by,Shp2Osm,regular
27608847,source,PGS,regular
27608897,source,PGS,regular
27608897,created_by,Shp2Osm,regular
27608905,source,PGS,regular
27608905,created_by,Shp2Osm,regular
27608919,source,PGS,regular
27608920,source,PGS,regular
27608943,source,PGS,regular
27608975,source,PGS,regular
27608979,source,PGS,regular
27608979,created_by,Shp2Osm,regular
27609016,source,PGS,regular
27609017,source,PGS,regular
27609019,source,PGS,regular
27609022,source,PGS,regular
27609022,created_by,Shp2Osm,regular
27609048,source,PGS,regular
27609053,source,PGS,regular
27609053,created_by,Shp2Osm,regular
27609054,source,PGS,regular
27609054,created_by,Shp2Osm,regular
27609073,source,PGS,regular
27609074,source,PGS,regular
27609104,source,PGS,regular
27609144,source,PGS,regular
27609161,source,PGS,regular
27609161,created_by,Shp2Osm,regular
27609167,source,PGS,regular
27609167,created_by,Shp2Osm,regular
27609179,source,PGS,regular
27609179,created_by,Shp2Osm,regular
27609199,source,PGS,regular
27609199,created_by,Shp2Osm,regular
27609213,source,PGS,regular
27609215,source,PGS,regular
27609219,source,PGS,regular
27609219,created_by,Shp2Osm,regular
27609224,source,PGS,regular
27609224,created_by,Shp2Osm,regular
27609231,source,PGS,regular
27609248,source,PGS,regular
27609252,source,PGS,regular
27609256,source,PGS,regular
27609256,created_by,Shp2Osm,regular
27609272,source,PGS,regular
27609278,source,PGS,regular
27609278,created_by,Shp2Osm,regular
27609292,source,PGS,regular
27609292,created_by,Shp2Osm,regular
27609299,source,PGS,regular
27609299,created_by,Shp2Osm,regular
27609313,source,PGS,regular
27609313,created_by,Shp2Osm,regular
27609316,source,PGS,regular
27609328,source,PGS,regular
27609328,created_by,Shp2Osm,regular
27609367,source,PGS,regular
27609367,created_by,Shp2Osm,regular
27609377,source,PGS,regular
27609381,source,PGS,regular
27609381,created_by,Shp2Osm,regular
27609420,source,PGS,regular
27609425,source,PGS,regular
27609425,created_by,Shp2Osm,regular
27609431,source,PGS,regular
27609437,source,PGS,regular
27609439,source,PGS,regular
27609439,created_by,Shp2Osm,regular
27609450,source,PGS,regular
27609450,created_by,Shp2Osm,regular
27609457,source,PGS,regular
27609457,created_by,Shp2Osm,regular
27609463,source,PGS,regular
27609479,source,PGS,regular
27609479,created_by,Shp2Osm,regular
27609484,source,PGS,regular
27609484,created_by,Shp2Osm,regular
27609495,source,PGS,regular
27609518,source,PGS,regular
27609518,created_by,Shp2Osm,regular
27609529,source,PGS,regular
27609543,source,PGS,regular
27609551,source,PGS,regular
27609551,created_by,Shp2Osm,regular
27609552,source,PGS,regular
27609557,source,PGS,regular
27609557,created_by,Shp2Osm,regular
27609578,source,PGS,regular
27609578,created_by,Shp2Osm,regular
27609589,source,PGS,regular
27609589,created_by,Shp2Osm,regular
27609628,source,PGS,regular
27609628,created_by,Shp2Osm,regular
27609671,source,PGS,regular
27609671,created_by,Shp2Osm,regular
27609691,source,PGS,regular
27609691,created_by,Shp2Osm,regular
27609694,source,PGS,regular
27609694,created_by,Shp2Osm,regular
27609707,source,PGS,regular
27609707,created_by,Shp2Osm,regular
27609719,source,PGS,regular
27609722,source,PGS,regular
27609722,created_by,Shp2Osm,regular
27609733,source,PGS,regular
27609736,source,PGS,regular
27609736,created_by,Shp2Osm,regular
27609737,source,PGS,regular
27609751,source,PGS,regular
27609751,created_by,Shp2Osm,regular
27609756,source,PGS,regular
27609756,created_by,Shp2Osm,regular
27609757,source,PGS,regular
27609757,created_by,Shp2Osm,regular
27609766,source,PGS,regular
27609766,created_by,Shp2Osm,regular
27609768,source,PGS,regular
27609776,source,PGS,regular
27609798,source,PGS,regular
27609798,created_by,Shp2Osm,regular
27609810,source,PGS,regular
27609810,created_by,Shp2Osm,regular
27609824,source,PGS,regular
27609824,created_by,Shp2Osm,regular
27609843,source,PGS,regular
27609843,created_by,Shp2Osm,regular
27609853,source,PGS,regular
27609853,created_by,Shp2Osm,regular
27609867,source,PGS,regular
27609886,source,PGS,regular
27609927,source,PGS,regular
27609927,created_by,Shp2Osm,regular
27609945,source,PGS,regular
27609963,source,PGS,regular
27609968,source,PGS,regular
27609968,created_by,Shp2Osm,regular
27609970,source,PGS,regular
27609970,created_by,Shp2Osm,regular
27609987,source,PGS,regular
27609987,created_by,Shp2Osm,regular
27610007,source,PGS,regular
27610007,created_by,Shp2Osm,regular
27610008,source,PGS,regular
27610008,created_by,Shp2Osm,regular
27610023,source,PGS,regular
27610023,created_by,Shp2Osm,regular
27610032,source,PGS,regular
27610033,source,PGS,regular
27610033,created_by,Shp2Osm,regular
27610045,source,PGS,regular
27610045,created_by,Shp2Osm,regular
27610048,source,PGS,regular
27610048,created_by,Shp2Osm,regular
27610059,source,PGS,regular
27610078,source,PGS,regular
27610078,created_by,Shp2Osm,regular
27610092,source,PGS,regular
27610130,source,PGS,regular
27610147,source,PGS,regular
27610159,source,PGS,regular
27610159,created_by,Shp2Osm,regular
27610180,source,PGS,regular
27610190,source,PGS,regular
27610190,created_by,Shp2Osm,regular
27610218,source,PGS,regular
27610219,source,PGS,regular
27610255,source,PGS,regular
27610261,source,PGS,regular
27610261,created_by,Shp2Osm,regular
27610264,source,PGS,regular
27610279,source,PGS,regular
27610282,source,PGS,regular
27610307,source,PGS,regular
27610307,created_by,Shp2Osm,regular
27610313,source,PGS,regular
27610313,created_by,Shp2Osm,regular
27610323,source,PGS,regular
27610344,source,PGS,regular
27610374,source,PGS,regular
27610389,source,PGS,regular
27610389,created_by,Shp2Osm,regular
27610390,source,PGS,regular
27610414,source,PGS,regular
27610441,source,PGS,regular
27610441,created_by,Shp2Osm,regular
27610447,source,PGS,regular
27610460,source,PGS,regular
27610460,created_by,Shp2Osm,regular
27610467,source,PGS,regular
27610467,created_by,Shp2Osm,regular
27610474,source,PGS,regular
27610494,source,PGS,regular
27610494,created_by,Shp2Osm,regular
27610513,source,PGS,regular
27610523,source,PGS,regular
27610540,source,PGS,regular
27610563,source,PGS,regular
27610579,source,PGS,regular
27610584,source,PGS,regular
27610584,created_by,Shp2Osm,regular
27610596,source,PGS,regular
27610605,source,PGS,regular
27610605,created_by,Shp2Osm,regular
27610619,source,PGS,regular
27610619,created_by,Shp2Osm,regular
27610622,source,PGS,regular
27610622,created_by,Shp2Osm,regular
27610629,source,PGS,regular
27610629,created_by,Shp2Osm,regular
27610631,source,PGS,regular
27610638,source,PGS,regular
27610638,created_by,Shp2Osm,regular
27610658,source,PGS,regular
27610661,source,PGS,regular
27610732,source,PGS,regular
27610735,source,PGS,regular
27610735,created_by,Shp2Osm,regular
27610738,source,PGS,regular
27610752,source,PGS,regular
27610752,created_by,Shp2Osm,regular
27610776,source,PGS,regular
27610776,created_by,Shp2Osm,regular
27610786,source,PGS,regular
27610786,created_by,Shp2Osm,regular
27610809,source,PGS,regular
27610834,source,PGS,regular
27610837,source,PGS,regular
27610850,source,PGS,regular
27610850,created_by,Shp2Osm,regular
27610902,source,PGS,regular
27610902,created_by,Shp2Osm,regular
27610945,source,PGS,regular
27610945,created_by,Shp2Osm,regular
27610961,source,PGS,regular
27610998,source,PGS,regular
27611000,source,PGS,regular
27611000,created_by,Shp2Osm,regular
27611007,source,PGS,regular
27611012,source,PGS,regular
27611023,source,PGS,regular
27611040,source,PGS,regular
27611040,created_by,Shp2Osm,regular
27611044,source,PGS,regular
27611044,created_by,Shp2Osm,regular
27611045,source,PGS,regular
27611045,created_by,Shp2Osm,regular
27611048,source,PGS,regular
27611055,source,PGS,regular
27611105,source,PGS,regular
27611133,source,PGS,regular
27611133,created_by,Shp2Osm,regular
27611159,source,PGS,regular
27611159,created_by,Shp2Osm,regular
27611184,source,PGS,regular
27611184,created_by,Shp2Osm,regular
27611197,source,PGS,regular
27611197,created_by,Shp2Osm,regular
27611206,source,PGS,regular
27611209,source,PGS,regular
27611237,source,PGS,regular
27611237,created_by,Shp2Osm,regular
27611249,source,PGS,regular
27611249,created_by,Shp2Osm,regular
27611279,source,PGS,regular
27611279,created_by,Shp2Osm,regular
27611321,source,PGS,regular
27611321,created_by,Shp2Osm,regular
27611342,source,PGS,regular
27611342,created_by,Shp2Osm,regular
27611368,source,PGS,regular
27611368,created_by,Shp2Osm,regular
27611397,source,PGS,regular
27611407,source,PGS,regular
27611407,created_by,Shp2Osm,regular
27611415,source,PGS,regular
27611415,created_by,Shp2Osm,regular
27611428,source,PGS,regular
27611428,created_by,Shp2Osm,regular
27611441,source,PGS,regular
27611441,created_by,Shp2Osm,regular
27611445,source,PGS,regular
27611445,created_by,Shp2Osm,regular
27611451,source,PGS,regular
27611474,source,PGS,regular
27611474,created_by,Shp2Osm,regular
27611478,source,PGS,regular
31681069,created_by,JOSM,regular
31681071,created_by,JOSM,regular
31681091,highway,Traffic_Signals,regular
31681111,created_by,JOSM,regular
31681116,created_by,JOSM,regular
31681121,created_by,JOSM,regular
31681123,created_by,JOSM,regular
31681125,created_by,JOSM,regular
31681128,created_by,JOSM,regular
31681130,created_by,JOSM,regular
31681133,created_by,JOSM,regular
31681137,created_by,JOSM,regular
31681187,created_by,JOSM,regular
31681191,created_by,JOSM,regular
31681193,highway,Traffic_Signals,regular
31681193,created_by,JOSM,regular
105404369,highway,Traffic_Signals,regular
105408154,highway,Crossing,regular
105408807,highway,Traffic_Signals,regular
105408815,highway,Crossing,regular
105409185,highway,Crossing,regular
105409185,crossing,Traffic_Signals,regular
251149582,highway,Traffic_Signals,regular
251149586,highway,Traffic_Signals,regular
251270408,barrier,Toll_Booth,regular
251302687,is_in,İstanbul;Türkiye,regular
251302687,name,Beşiktaş,regular
